English,Korean
which,"어떤, 어느"
their,"그들의, 그것들의, 그, 사람의"
out,"나가다, 나오다, 밖에, 지금까지, 벗어나서"
use,"이용하다, 사용하다, 쓰다"
any,"어떤, 전혀, 어느, 누군가, 아무"
there,"거기, 그곳, 저기, 저쪽"
see,"보다, 알다, 만나다, 확인하다, 발견하다"
only,"뿐이다, 유일하게, 유일한, 단지, 오직"
so,"그래서, 그렇게, 그렇다면, 그러니, 그러니까"
his,"그의, 그의, 것, 그, 사람의, 신의"
when,"때, 언제, 경우, 얼마쯤에서"
contact,"접촉, 연락, 콘택트, 렌즈, 교제, 시선을, 마주치다"
here,"여기, 이곳, 이쪽, 저기"
business,"기업, 사업, 비즈니스, 경영, 일"
who,누구
web,"웹, 인터넷, 거미줄"
